,Year,Player,Tm,Age,Pos,college
9607,1989.0,Derrick McKey,SEA,22.0,SF,University of Alabama
9608,1989.0,Nate McMillan,SEA,24.0,PG,North Carolina State University
9609,1989.0,Mark McNamara,LAL,29.0,C,University of California
9610,1989.0,Reggie Miller*,IND,23.0,SG,
9611,1989.0,Todd Mitchell,TOT,22.0,SF,Purdue University
9612,1989.0,Todd Mitchell,MIA,22.0,SF,Purdue University
9613,1989.0,Todd Mitchell,SAS,22.0,SF,Purdue University
9614,1989.0,Paul Mokeski,MIL,32.0,C,University of Kansas
9615,1989.0,Sidney Moncrief,MIL,31.0,PG,University of Arkansas
9616,1989.0,Chris Morris,NJN,23.0,SF,Auburn University
9617,1989.0,Richard Morton,IND,22.0,PG,"California State University, Fullerton"
9618,1989.0,Chris Mullin*,GSW,25.0,SF,
9619,1989.0,Pete Myers,TOT,25.0,SG,University of Arkansas at Little Rock
9620,1989.0,Pete Myers,PHI,25.0,SG,University of Arkansas at Little Rock
9621,1989.0,Pete Myers,NYK,25.0,SG,University of Arkansas at Little Rock
9622,1989.0,Larry Nance,CLE,29.0,PF,Clemson University
9623,1989.0,Larry Nance,CLE,29.0,PF,University of Wyoming
9624,1989.0,Calvin Natt,TOT,32.0,SF,University of Louisiana at Monroe
9625,1989.0,Calvin Natt,DEN,32.0,SF,University of Louisiana at Monroe
9626,1989.0,Calvin Natt,SAS,32.0,SF,University of Louisiana at Monroe
9627,1989.0,Craig Neal,TOT,24.0,PG,Georgia Institute of Technology
9628,1989.0,Craig Neal,POR,24.0,PG,Georgia Institute of Technology
9629,1989.0,Craig Neal,MIA,24.0,PG,Georgia Institute of Technology
9630,1989.0,Ed Nealy,TOT,28.0,PF,Kansas State University
9631,1989.0,Ed Nealy,CHI,28.0,PF,Kansas State University
9632,1989.0,Ed Nealy,PHO,28.0,PF,Kansas State University
9633,1989.0,Chuck Nevitt,HOU,29.0,C,North Carolina State University
9634,1989.0,Johnny Newman,NYK,25.0,SF,University of Richmond
9635,1989.0,Norm Nixon,LAC,33.0,PG,Duquesne University
9636,1989.0,Ken Norman,LAC,24.0,SF,University of Illinois at Urbana-Champaign
9637,1989.0,Charles Oakley,NYK,25.0,PF,Virginia Union University
9638,1989.0,Hakeem Olajuwon*,HOU,26.0,C,
9639,1989.0,Jose Ortiz,UTA,25.0,PF,Oregon State University
9640,1989.0,Robert Parish*,BOS,35.0,C,
9641,1989.0,Jim Paxson,BOS,31.0,PG,University of Dayton
9642,1989.0,Jim Paxson,BOS,31.0,PG,University of Dayton
9643,1989.0,John Paxson,CHI,28.0,PG,University of Notre Dame
9644,1989.0,Will Perdue,CHI,23.0,C,Vanderbilt University
9645,1989.0,Sam Perkins,DAL,27.0,PF,University of North Carolina
9646,1989.0,Tim Perry,PHO,23.0,C,Temple University
9647,1989.0,Chuck Person,IND,24.0,SF,Auburn University
9648,1989.0,Jim Petersen,SAC,26.0,C,University of Minnesota
9649,1989.0,Ricky Pierce,MIL,29.0,SG,Rice University
9650,1989.0,Ed Pinckney,TOT,25.0,PF,Villanova University
9651,1989.0,Ed Pinckney,SAC,25.0,PF,Villanova University
9652,1989.0,Ed Pinckney,BOS,25.0,PF,Villanova University
9653,1989.0,Scottie Pippen*,CHI,23.0,SF,
9654,1989.0,Olden Polynice,SEA,24.0,C,University of Virginia
9655,1989.0,Dave Popson,TOT,24.0,PF,University of North Carolina
9656,1989.0,Dave Popson,LAC,24.0,PF,University of North Carolina
